reviewer_name,review_date,review_content,lowercased,urls_removed,punctuation_removed,numbers_removed,extra_spaces_removed,stopwords_removed,lemmatized,tokenized
Camper49668736081,2/26/2026,Praise to Allah and thank Muhammad Khamal al-Khamal. Value Rooms Location Cleanliness Service Sleep Quality,praise to allah and thank muhammad khamal al-khamal. value rooms location cleanliness service sleep quality,praise to allah and thank muhammad khamal al-khamal. value rooms location cleanliness service sleep quality,praise to allah and thank muhammad khamal alkhamal value rooms location cleanliness service sleep quality,praise to allah and thank muhammad khamal alkhamal value rooms location cleanliness service sleep quality,praise to allah and thank muhammad khamal alkhamal value rooms location cleanliness service sleep quality,praise allah thank muhammad khamal alkhamal value rooms location cleanliness service sleep quality,praise allah thank muhammad khamal alkhamal value room location cleanliness service sleep quality,"['praise', 'allah', 'thank', 'muhammad', 'khamal', 'alkhamal', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
J A,2/26/2026,"Marian Anwar was really nice and friendly , I wanted my thob ironed fast and he finished it in less than 15 mins.","marian anwar was really nice and friendly , i wanted my thob ironed fast and he finished it in less than 15 mins.","marian anwar was really nice and friendly , i wanted my thob ironed fast and he finished it in less than 15 mins.",marian anwar was really nice and friendly  i wanted my thob ironed fast and he finished it in less than 15 mins,marian anwar was really nice and friendly  i wanted my thob ironed fast and he finished it in less than  mins,marian anwar was really nice and friendly i wanted my thob ironed fast and he finished it in less than mins,marian anwar really nice friendly wanted thob ironed fast finished less mins,marian anwar really nice friendly want thob iron fast finish less min,"['marian', 'anwar', 'really', 'nice', 'friendly', 'want', 'thob', 'iron', 'fast', 'finish', 'less', 'min']"
Shakeeb P,2/26/2026,"The overall service was really nice at the hotel. Room service, Suhoor and Iftar at the restaurant and the blazing fast laundry service. Special mention to Anwar from the laundry team. The golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families. Overall the experience was really good!!! Insider tip: There is a bit of walking so remember to take the shuttle service. Value Rooms Location Cleanliness Service Sleep Quality","the overall service was really nice at the hotel. room service, suhoor and iftar at the restaurant and the blazing fast laundry service. special mention to anwar from the laundry team. the golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families. overall the experience was really good!!! insider tip: there is a bit of walking so remember to take the shuttle service. value rooms location cleanliness service sleep quality","the overall service was really nice at the hotel. room service, suhoor and iftar at the restaurant and the blazing fast laundry service. special mention to anwar from the laundry team. the golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families. overall the experience was really good!!! insider tip: there is a bit of walking so remember to take the shuttle service. value rooms location cleanliness service sleep quality",the overall service was really nice at the hotel room service suhoor and iftar at the restaurant and the blazing fast laundry service special mention to anwar from the laundry team the golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families overall the experience was really good insider tip there is a bit of walking so remember to take the shuttle service value rooms location cleanliness service sleep quality,the overall service was really nice at the hotel room service suhoor and iftar at the restaurant and the blazing fast laundry service special mention to anwar from the laundry team the golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families overall the experience was really good insider tip there is a bit of walking so remember to take the shuttle service value rooms location cleanliness service sleep quality,the overall service was really nice at the hotel room service suhoor and iftar at the restaurant and the blazing fast laundry service special mention to anwar from the laundry team the golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families overall the experience was really good insider tip there is a bit of walking so remember to take the shuttle service value rooms location cleanliness service sleep quality,overall service really nice hotel room service suhoor iftar restaurant blazing fast laundry service special mention anwar laundry team golf cart available time waiting time minutes take haram makes really convenient families overall experience really good insider tip bit walking remember take shuttle service value rooms location cleanliness service sleep quality,overall service really nice hotel room service suhoor iftar restaurant blaze fast laundry service special mention anwar laundry team golf cart available time wait time minute take haram make really convenient family overall experience really good insider tip bite walking remember take shuttle service value room location cleanliness service sleep quality,"['overall', 'service', 'really', 'nice', 'hotel', 'room', 'service', 'suhoor', 'iftar', 'restaurant', 'blaze', 'fast', 'laundry', 'service', 'special', 'mention', 'anwar', 'laundry', 'team', 'golf', 'cart', 'available', 'time', 'wait', 'time', 'minute', 'take', 'haram', 'make', 'really', 'convenient', 'family', 'overall', 'experience', 'really', 'good', 'insider', 'tip', 'bite', 'walking', 'remember', 'take', 'shuttle', 'service', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
202ahmedi,2/26/2026,"First : they support as fast as possible to make early chicken for you to have your rest , service is professional , reception team is friendly, laundry service is fast as more than you expect specially Marawan anour fast and polite, supportive as generally this what you expect from Marriott even in high season if it’s your choice, you will always be happy","first : they support as fast as possible to make early chicken for you to have your rest , service is professional , reception team is friendly, laundry service is fast as more than you expect specially marawan anour fast and polite, supportive as generally this what you expect from marriott even in high season if it’s your choice, you will always be happy","first : they support as fast as possible to make early chicken for you to have your rest , service is professional , reception team is friendly, laundry service is fast as more than you expect specially marawan anour fast and polite, supportive as generally this what you expect from marriott even in high season if it’s your choice, you will always be happy",first  they support as fast as possible to make early chicken for you to have your rest  service is professional  reception team is friendly laundry service is fast as more than you expect specially marawan anour fast and polite supportive as generally this what you expect from marriott even in high season if it’s your choice you will always be happy,first  they support as fast as possible to make early chicken for you to have your rest  service is professional  reception team is friendly laundry service is fast as more than you expect specially marawan anour fast and polite supportive as generally this what you expect from marriott even in high season if it’s your choice you will always be happy,first they support as fast as possible to make early chicken for you to have your rest service is professional reception team is friendly laundry service is fast as more than you expect specially marawan anour fast and polite supportive as generally this what you expect from marriott even in high season if it’s your choice you will always be happy,first support fast possible make early chicken rest service professional reception team friendly laundry service fast expect specially marawan anour fast polite supportive generally expect marriott even high season it’s choice always happy,first support fast possible make early chicken rest service professional reception team friendly laundry service fast expect specially marawan anour fast polite supportive generally expect marriott even high season it ’ s choice always happy,"['first', 'support', 'fast', 'possible', 'make', 'early', 'chicken', 'rest', 'service', 'professional', 'reception', 'team', 'friendly', 'laundry', 'service', 'fast', 'expect', 'specially', 'marawan', 'anour', 'fast', 'polite', 'supportive', 'generally', 'expect', 'marriott', 'even', 'high', 'season', 'it', '’', 's', 'choice', 'always', 'happy']"
H A,2/26/2026,Marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much.,marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much.,marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much.,marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much,marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much,marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much,marwan anwar laundry guy best helpful always smiling respectful much,marwan anwar laundry guy best helpful always smile respectful much,"['marwan', 'anwar', 'laundry', 'guy', 'best', 'helpful', 'always', 'smile', 'respectful', 'much']"
Ismayil Y,2/26/2026,"Very friendly staff, delicious food. Specially thanks to Ms Afrah for kind assistance Value Rooms Location Cleanliness Service Sleep Quality","very friendly staff, delicious food. specially thanks to ms afrah for kind assistance value rooms location cleanliness service sleep quality","very friendly staff, delicious food. specially thanks to ms afrah for kind assistance value rooms location cleanliness service sleep quality",very friendly staff delicious food specially thanks to ms afrah for kind assistance value rooms location cleanliness service sleep quality,very friendly staff delicious food specially thanks to ms afrah for kind assistance value rooms location cleanliness service sleep quality,very friendly staff delicious food specially thanks to ms afrah for kind assistance value rooms location cleanliness service sleep quality,friendly staff delicious food specially thanks ms afrah kind assistance value rooms location cleanliness service sleep quality,friendly staff delicious food specially thanks ms afrah kind assistance value room location cleanliness service sleep quality,"['friendly', 'staff', 'delicious', 'food', 'specially', 'thanks', 'ms', 'afrah', 'kind', 'assistance', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Saad A,2/26/2026,"I used a laundry machine and made the staff member Mruan Anur, honesty high in ethics and quick service and was careful to deliver the clothes. God does it well and writes his reward","i used a laundry machine and made the staff member mruan anur, honesty high in ethics and quick service and was careful to deliver the clothes. god does it well and writes his reward","i used a laundry machine and made the staff member mruan anur, honesty high in ethics and quick service and was careful to deliver the clothes. god does it well and writes his reward",i used a laundry machine and made the staff member mruan anur honesty high in ethics and quick service and was careful to deliver the clothes god does it well and writes his reward,i used a laundry machine and made the staff member mruan anur honesty high in ethics and quick service and was careful to deliver the clothes god does it well and writes his reward,i used a laundry machine and made the staff member mruan anur honesty high in ethics and quick service and was careful to deliver the clothes god does it well and writes his reward,used laundry machine made staff member mruan anur honesty high ethics quick service careful deliver clothes god well writes reward,use laundry machine make staff member mruan anur honesty high ethic quick service careful deliver clothes god well write reward,"['use', 'laundry', 'machine', 'make', 'staff', 'member', 'mruan', 'anur', 'honesty', 'high', 'ethic', 'quick', 'service', 'careful', 'deliver', 'clothes', 'god', 'well', 'write', 'reward']"
Mustafa K,2/26/2026,Marwan Anwar Excellent Service I got from laundry On time. Insider tip: Marwan Anwar Excellent Service I got laundry On time Rooms Location Service,marwan anwar excellent service i got from laundry on time. insider tip: marwan anwar excellent service i got laundry on time rooms location service,marwan anwar excellent service i got from laundry on time. insider tip: marwan anwar excellent service i got laundry on time rooms location service,marwan anwar excellent service i got from laundry on time insider tip marwan anwar excellent service i got laundry on time rooms location service,marwan anwar excellent service i got from laundry on time insider tip marwan anwar excellent service i got laundry on time rooms location service,marwan anwar excellent service i got from laundry on time insider tip marwan anwar excellent service i got laundry on time rooms location service,marwan anwar excellent service got laundry time insider tip marwan anwar excellent service got laundry time rooms location service,marwan anwar excellent service get laundry time insider tip marwan anwar excellent service get laundry time room location service,"['marwan', 'anwar', 'excellent', 'service', 'get', 'laundry', 'time', 'insider', 'tip', 'marwan', 'anwar', 'excellent', 'service', 'get', 'laundry', 'time', 'room', 'location', 'service']"
???? ?,2/26/2026,Thank to younes anwar from the laundry for his quick efficient,thank to younes anwar from the laundry for his quick efficient,thank to younes anwar from the laundry for his quick efficient,thank to younes anwar from the laundry for his quick efficient,thank to younes anwar from the laundry for his quick efficient,thank to younes anwar from the laundry for his quick efficient,thank younes anwar laundry quick efficient,thank younes anwar laundry quick efficient,"['thank', 'younes', 'anwar', 'laundry', 'quick', 'efficient']"
Cruiser57885223125,2/26/2026,Excellent Service Mohamed Kamal Special Laundry Value Rooms Location Cleanliness Service Sleep Quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value rooms location cleanliness service sleep quality,excellent service mohamed kamal special laundry value room location cleanliness service sleep quality,"['excellent', 'service', 'mohamed', 'kamal', 'special', 'laundry', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
ahmed a,2/26/2026,Morocco Announcer has done the ethics of laundry services.,morocco announcer has done the ethics of laundry services.,morocco announcer has done the ethics of laundry services.,morocco announcer has done the ethics of laundry services,morocco announcer has done the ethics of laundry services,morocco announcer has done the ethics of laundry services,morocco announcer done ethics laundry services,morocco announcer do ethic laundry service,"['morocco', 'announcer', 'do', 'ethic', 'laundry', 'service']"
Salman S,2/26/2026,"Marriott Makkah Younis Anwarullah, excellent service from the laundry Value Rooms Location Cleanliness Service Sleep Quality","marriott makkah younis anwarullah, excellent service from the laundry value rooms location cleanliness service sleep quality","marriott makkah younis anwarullah, excellent service from the laundry value rooms location cleanliness service sleep quality",marriott makkah younis anwarullah excellent service from the laundry value rooms location cleanliness service sleep quality,marriott makkah younis anwarullah excellent service from the laundry value rooms location cleanliness service sleep quality,marriott makkah younis anwarullah excellent service from the laundry value rooms location cleanliness service sleep quality,marriott makkah younis anwarullah excellent service laundry value rooms location cleanliness service sleep quality,marriott makkah younis anwarullah excellent service laundry value room location cleanliness service sleep quality,"['marriott', 'makkah', 'younis', 'anwarullah', 'excellent', 'service', 'laundry', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
